child,parent,parent_type,child_prediction,can_reverse
Virginia Gardner,Chuck Gardner,father,Billie Lourd,False
Suki Waterhouse,Elizabeth Waterhouse,mother,Emma Watson,False
Suki Waterhouse,Norman Waterhouse,father,Suki Waterhouse,True
Lacey Chabert,Julie Chabert,mother,Lacey Chabert,True
Lacey Chabert,Tony Chabert,father,Lacey Chabert,True
Reese Witherspoon,Betty Reese,mother,Reese Witherspoon,True
Reese Witherspoon,John Draper Witherspoon,father,Reese Witherspoon,True
Gabriel Basso,Marcie Basso,mother,,False
Gabriel Basso,Louis J. Basso,father,,False
Olivia d'Abo,Maggie London,mother,,False
Simon Pegg,Gillian Rosemary Smith,mother,Emma Watson,False
Simon Pegg,John Beckingham,father,Peter Gabriel,False
Jackie Chan,Lee-Lee Chan,mother,Jackie Chan,True
Jackie Chan,Charles Chan,father,Jackie Chan,True
Zoey Deutch,Lea Thompson,mother,Zoey Deutch,True
Zoey Deutch,Howard Deutch,father,Zoey Deutch,True
Tom Welling,Bonnie Welling,mother,Tom Welling,True
Tom Welling,Mark Welling,father,Tom Welling,True
Madelyn Cline,Pam Cline,mother,,False
Madelyn Cline,Mark Cline,father,Emilia Clarke,False
Holly Hunter,Opal Marguerite Catledge,mother,Morgan Freeman,False
Holly Hunter,Charles Edwin Hunter,father,Holly Hunter,True
Emmanuelle Seigner,Aline Ponelle,mother,,False
Emmanuelle Seigner,Jean-Louis Seigner,father,Emmanuelle Seigner,True
Claudia Lee,Denise Lee,mother,Beyoncé Knowles,False
Claudia Lee,Klaudiusz Lee,father,,False
Piper Perabo,Mary Charlotte Ulland,mother,Kristen Bell,False
Piper Perabo,William Perabo,father,Piper Perabo,True
Morgan Freeman,Mayme Edna Revere,mother,Morgan Freeman,True
Morgan Freeman,Morgan Porterfield Freeman, Sr.,father,Morgan Freeman,True
Domhnall Gleeson,Mary Weldon,mother,,False
Domhnall Gleeson,Brendan Gleeson,father,Domhnall Gleeson,True
Dove Cameron,Bonnie Wallace,mother,Dove Cameron,True
Dove Cameron,Philip Alan Hosterman,father,Dove Cameron,True
Olivia Holt,Kim Holt,mother,Billie Eilish,False
Olivia Holt,Mark Holt,father,,False
Maika Monroe,Dixie Monroe,mother,,False
Maika Monroe,Dixie Brubaker,father,Dweezil Zappa,False
Michael Sheen,Irene Sheen,mother,Charlie Sheen,False
Michael Sheen,Meyrick Sheen,father,Michael Sheen,True
David Fincher,Claire Mae Fincher,mother,David Fincher,True
David Fincher,Howard Fincher,father,David Fincher,True
Michael Fassbender,Adele Fassbender,mother,Michael Fassbender,True
Michael Fassbender,Josef Fassbender,father,Michael Fassbender,True
Sofia Black-D'Elia,Eleanor D'Elia,mother,Chris D'Elia,False
Sofia Black-D'Elia,Anthony D'Elia,father,Chris D'Elia,False
Eva Green,Marlène Jobert,mother,Eva Green,True
Eva Green,Walter Green,father,Eva Green,True
Rooney Mara,Kathleen McNulty Rooney,mother,Tom Hanks,False
Rooney Mara,Chris Mara,father,Kate Mara,False
Emma Thompson,Phyllida Law,mother,Emma Thompson,True
Emma Thompson,Eric Thompson,father,Emma Thompson,True
Poorna Jagannathan,Retired Vice Admiral V.R. Jagannathan,father,,False
Melissa Benoist,Julie Benoist,mother,Melissa Benoist,True
Melissa Benoist,Jim Benoist,father,Melissa Benoist,True
Frances McDormand,Noreen E. Nickelson McDormand,mother,Frances McDormand,True
Frances McDormand,Vernon McDormand,father,Frances McDormand,True
Krysten Ritter,Kathy Ritter,mother,Josh Ritter,False
Krysten Ritter,Gary Ritter,father,Jason Ritter,False
Fisher Stevens,Sally Fisher,mother,,False
Viggo Mortensen,Grace Gamble Atkinson,mother,Denzel Washington,False
Viggo Mortensen,Viggo Peter Mortensen Sr.,father,Viggo Mortensen,True
Liv Tyler,Bebe Buell,mother,Liv Tyler,True
Liv Tyler,Steven Tyler,father,Liv Tyler,True
Jack Black,Judith Love Cohen,mother,Jack Black,True
Jack Black,Thomas William Black,father,Jack Black,True
Taylor Kitsch,Susan Green,mother,,False
Taylor Kitsch,Drew Kitsch,father,Taylor Kitsch,True
Michael Cera,Linda Cera,mother,Michael Cera,True
Michael Cera,Luigi Cera,father,Michael Cera,True
James Gunn,Leota Gunn,mother,Morgan Freeman,False
James Gunn,James F. Gunn,father,James Gunn,True
Emily Browning,Shelley Browning,mother,Megan Fox,False
Emily Browning,Andrew Browning,father,,False
Neve Campbell,Marnie Neve Campbell,mother,Neve Campbell,True
Neve Campbell,Gerry Campbell,father,Naomi Campbell,False
John Krasinski,Mary Clare Krasinski,mother,John Krasinski,True
John Krasinski,Ronald Krasinski,father,John Krasinski,True
Paul Walker,Cheryl Walker,mother,Paul Walker,True
Paul Walker,Paul William Walker III,father,Paul Walker,True
Jacob Tremblay,Christina Candia Tremblay,mother,,False
Jacob Tremblay,Jason Tremblay,father,Jacob Tremblay,True
Abby Ryder Fortson,Christie Lynn Smith,mother,Abby Ryder Fortson,True
Abby Ryder Fortson,John Fortson,father,Abby Ryder Fortson,True
Natasia Demetriou,Ellie Demetriou,father,Michael Demetriou,False
Eric Stoltz,Evelyn B. Stoltz,mother,Barbara Streisand,False
Eric Stoltz,Jack Stoltz,father,Eric Stoltz,True
John Cena,Carol Cena,mother,John Cena,True
John Cena,John Cena Sr.,father,John Cena,True
Michelle Williams,Carla Williams,mother,,False
Michelle Williams,Larry Richard Williams,father,Michelle Williams,True
Geena Davis,Lucille Davis,mother,,False
Geena Davis,William F. Davis,father,Gillian Anderson,False
Paul Rudd,Gloria Rudd,mother,Paul Rudd,True
Paul Rudd,Michael Rudd,father,Paul Rudd,True
James Mangold,Sylvia Plimack Mangold,mother,Andrew Mangold,False
James Mangold,Robert Mangold,father,Nick Mangold,False
Sadie Sink,Lori Sink,mother,,False
Sadie Sink,Casey Adam Sink,father,Sadie Sink,True
Annabelle Wallis,Richard Hardman,father,,False
Paula Patton,Joyce Patton,mother,Paula Patton,True
Paula Patton,Charles Patton,father,Paula Patton,True
Judy Holliday,Helen Tuvim,mother,Judy Holliday,True
Judy Holliday,Abe Tuvim,father,Judy Garland,False
Martin Freeman,Philomena Norris,mother,,False
Martin Freeman,Geoffrey Freeman,father,Morgan Freeman,False
Milla Jovovich,Galina Jovovich,mother,Milla Jovovich,True
Milla Jovovich,Bogdan Jovovich,father,Milla Jovovich,True
Peyton List,Suzanne List,mother,Jennifer Lawrence,False
Peyton List,John List,father,,False
James Norton,Lavinia Norton,mother,,False
James Norton,Hugh B. Norton,father,Edward Norton,False
Noomi Rapace,Nina Norén,mother,Alicia Vikander,False
Noomi Rapace,Rogelio Durán,father,Becky G,False
Tobias Menzies,Gillian Menzies,mother,,False
Tobias Menzies,Peter Menzies Jr.,father,,False
Edward Furlong,Eleanor Torres,mother,,False
Edward Furlong,Eleanor Torres,father,,False
Brooke Langton,Jackson Langton,mother,,False
Brooke Langton,Jackson Langton,father,,False
Ellen Barkin,Evelyn Barkin,mother,Ellen Barkin,True
Ellen Barkin,Sol Barkin,father,Ellen Barkin,True
Mae Whitman,Pat Musick,mother,Mae Whitman,True
Mae Whitman,Pat Whitman,father,,False
John Francis Daley,R.F. Daley,mother,Patrick Dempsey,False
John Francis Daley,R.F. Daley,father,Robert Patrick Daley,False
Tim Robbins,Mary Robbins,mother,Tim Robbins,True
Tim Robbins,Gil Robbins,father,Tim Robbins,True
Ashly Burch,David Burch,father,,False
Zac Efron,Starla Baskett,mother,Zac Efron,True
Zac Efron,David Efron,father,Zac Efron,True
Will Patton,Billie Patton,mother,Ryan Reynolds,False
Will Patton,Bill Patton,father,Paula Patton,False
Sam Levinson,Diana Rhodes,mother,,False
Sam Levinson,Barry Levinson,father,Sam Levinson,True
Parker Posey,Lynda Patton,mother,Channing Tatum,False
Parker Posey,Chris Posey,father,Parker Posey,True
Emily Osment,Theresa Osment,mother,Emily Osment,True
Emily Osment,Michael Eugene Osment,father,Haley Joel Osment,False
Boyd Holbrook,Ellen Holbrook,mother,,False
Boyd Holbrook,Don Holbrook,father,,False
Jennifer Morrison,Judy Morrison,mother,Jennifer Morrison,True
Jennifer Morrison,David L. Morrison,father,Jennifer Morrison,True
Iain Glen,Hamish Glen,father,Iona Glen,False
Naomi Watts,Myfanwy Edwards Roberts,mother,Hugh Grant,False
Naomi Watts,Peter Watts,father,Naomi Watts,True
Liam Hemsworth,Leonie Hemsworth,mother,Chris Hemsworth,False
Liam Hemsworth,Craig Hemsworth,father,Chris Hemsworth,False
Marlon Brando,Dorothy Julia Pennebaker Brando,mother,Marlon Brando,True
Marlon Brando,Marlon Brando Sr.,father,Marlon Brando Jr.,True
Emma Mackey,Rachel Mackey,mother,,False
Emma Mackey,Philippe Mackey,father,,False
Nicola Peltz Beckham,Claudia Heffner Peltz,mother,Brooklyn Beckham,False
Nicola Peltz Beckham,Nelson Peltz,father,Nicola Peltz,True
Ariana Richards,Darielle Garrison,mother,,False
Ariana Richards,Gary Richards,father,Jules Wainstein,False
Cameron Diaz,Billie Diaz,mother,,False
Cameron Diaz,Emilio Diaz,father,Cameron Diaz,True
Ruby Rose,Katia Langenheim,mother,Ruby Rose,True
Jennifer Coolidge,Pauline Coolidge,mother,Jennifer Coolidge,True
Jennifer Coolidge,Paul Coolidge,father,Jennifer Coolidge,True
Daisy Edgar-Jones,Wendy Edgar-Jones,mother,Felicity Jones,False
Daisy Edgar-Jones,Philip Edgar-Jones,father,Suranne Jones,False
Sarah Paulson,Catharine Gordon Dolcater,mother,Keanu Reeves,False
Sarah Paulson,Douglas Lyle Paulson II,father,Sarah Paulson,True
Stana Katic,Rada Katic,mother,Stana Katic,True
Stana Katic,Peter Katic,father,Stana Katic,True
Joel Kinnaman,Bitte Kinnaman,mother,Joel Kinnaman,True
Joel Kinnaman,Steve Kinnaman,father,Joel Kinnaman,True
Erin Murphy,Stephanie Murphy,mother,,False
Erin Murphy,Dan Murphy,father,Cillian Murphy,False
John Rhys-Davies,Phyllis Jones,mother,,False
John Rhys-Davies,Rhys Davies,father,Julia Gillard,False
River Phoenix,Arlyn Phoenix,mother,Joaquin Phoenix,False
River Phoenix,John Lee Bottom,father,Joaquin Phoenix,False
Courtney Eaton,Stephenie Eaton,mother,,False
Courtney Eaton,Stephen Eaton,father,,False
Jeri Ryan,Sharon Zimmerman,mother,,False
Selena Gomez,Mandy Teefey,mother,Selena Gomez,True
Selena Gomez,Ricardo Joel Gomez,father,Selena Gomez,True
Cary Elwes,Tessa Kennedy,mother,Emilio Estevez,False
Cary Elwes,Dominick Elwes,father,Cary Elwes,True
Will Ferrell,Betty Kay Overman,mother,Ellen DeGeneres,False
Will Ferrell,Roy Lee Ferrell Jr.,father,Will Ferrell,True
Winona Ryder,Cynthia Palmer,mother,Jennifer Aniston,False
Winona Ryder,Michael Horowitz,father,Winona Ryder,True
Armie Hammer,Dru Ann Mobley,mother,Sandra Bullock,False
Armie Hammer,Michael Armand Hammer,father,Armie Hammer,True
Renee Olstead,Rebecca Lynn Jeffries,mother,Channing Tatum,False
Renee Olstead,Christopher Eric Olstead,father,Renee Olstead,True
Ian McShane,Irene McShane,mother,,False
Ian McShane,Harry McShane,father,Ian McShane,True
Wendie Malick,Gigi Malick,mother,,False
Wendie Malick,Ken Malick,father,Wendie Malick,True
Nina Dobrev,Michaela Dobreva,mother,Nina Dobrev,True
Nina Dobrev,Konstantin Dobrev,father,Nina Dobrev,True
Elisabeth Shue,Anne Harms,mother,,False
Elisabeth Shue,James Shue,father,Elisabeth Shue,True
Téa Leoni,Emily Patterson,mother,,False
Téa Leoni,Anthony Pantaleoni,father,Tea Leoni,False
Sebastian Stan,Georgeta Orlovschi,mother,Sebastian Stan,True
Sebastian Stan,Georgeta Orlovschi,father,Sebastian Stan,True
James Franco,Betsy Lou Franco,mother,James Franco,True
James Franco,Douglas Eugene Franco,father,James Franco,True
JoAnna Garcia Swisher,Lorraine García,mother,,False
JoAnna Garcia Swisher,Jay Garcia,father,,False
Jennifer Nettles,Carla Temple,mother,Bradley Cooper,False
Jennifer Nettles,Carlo Nettles,father,,False
Rosario Dawson,Isabel Celeste,mother,Rosario Dawson,True
Rosario Dawson,Greg Dawson,father,Rosario Dawson,True
Haley Lu Richardson,Valerie Richardson,mother,,False
Haley Lu Richardson,Forrest L. Richardson,father,Patricia Richardson,False
Richa Moorjani,Sudhir Moorjani,father,Freida Pinto,False
Jack O'Connell,Alison O'Connell,mother,Niall Horan,False
Jack O'Connell,John O'Connell,father,Jerry O'Connell,False
Jennifer Jason Leigh,Barbara Turner,mother,Jennifer Jason Leigh,True
Jennifer Jason Leigh,Vic Morrow,father,Jennifer Jason Leigh,True
Chloe Bennet,Stephanie Crane,mother,Chandler Riggs,False
Chloe Bennet,Bennet Wang,father,,False
Kathryn Hahn,Karen Hahn,mother,,False
Kathryn Hahn,Bill Hahn,father,,False
Mila Kunis,Elvira Kunis,mother,Mila Kunis,True
Mila Kunis,Mark Kunis,father,Mila Kunis,True
Sean Young,Lee Guthrie,mother,Johnny Depp,False
Sean Young,Donald Young Jr.,father,Neil Young,False
Jessica Biel,Kimberly Biel,mother,Jessica Biel,True
Jessica Biel,Jonathan Biel,father,Jessica Biel,True
David Corenswet,Caroline Packard,mother,,False
David Corenswet,John Corenswet,father,David Corenswet,True
Vera Farmiga,Lubomyra Farmiga,mother,Vera Farmiga,True
Vera Farmiga,Mykhailo Farmiga,father,Vera Farmiga,True
Lucy Boynton,Adriaane Pielou,mother,Emily Blunt,False
Lucy Boynton,Graham Boynton,father,Poppy Delevingne,False
Wes Bentley,Cherie Bentley,mother,,False
Wes Bentley,David Bentley,father,,False
Justin Theroux,Phyllis Grissim-Theroux,mother,Justin Theroux,True
Justin Theroux,Eugene Theroux,father,Justin Theroux,True
Grant Gustin,Tina Haney,mother,Jennifer Garner,False
Grant Gustin,Thomas Gustin,father,Grant Gustin,True
Elizabeth Hurley,Angela Mary Hurley,mother,Elizabeth Hurley,True
Elizabeth Hurley,Roy Leonard Hurley,father,Elizabeth Hurley,True
Danielle Panabaker,Donna Panabaker,mother,Danielle Panabaker,True
Danielle Panabaker,Harold Panabaker,father,Danielle Panabaker,True
Jennifer Lopez,Guadalupe Rodriguez,mother,Jennifer Lopez,True
Jennifer Lopez,David Lopez,father,Jennifer Lopez,True
Emmanuelle Chriqui,Liliane Chriqui,mother,Emmanuelle Chriqui,True
Emmanuelle Chriqui,Albert Chriqui,father,Emmanuelle Chriqui,True
Meredith Baxter,Whitney Blake,mother,Meredith Baxter,True
Meredith Baxter,Tom Baxter,father,Elliot Page,False
Addison Timlin,R.J. Timlin,mother,Alexandra Daddario,False
Alessandro Nivola,Patricia Nivola,mother,Alessandro Nivola,True
Alessandro Nivola,Pietro Nivola,father,Alessandro Nivola,True
Sherilyn Fenn,Arlene Quatro,mother,Sherilyn Fenn,True
Sherilyn Fenn,Arnett Fenn,father,Halle Berry,False
Paget Brewster,Hawthorne Brewster,mother,Jordana Brewster,False
Paget Brewster,Galen Brewster,father,Jordana Brewster,False
Sofía Vergara,Margarita Vergara Dávila,mother,Sofía Vergara,True
Sofía Vergara,Julio Enrique Vergara Robayo,father,Sofia Vergara,False
Sam Rockwell,Penny Hess,mother,,False
Sam Rockwell,Pete Rockwell,father,Sam Rockwell,True
Sarah Hyland,Melissa Canaday,mother,Sarah Hyland,True
Sarah Hyland,Edward James Hyland,father,Sarah Hyland,True
Suzy Amis,Joanna Amis,mother,Kate Hudson,False
Joshua Jackson,Fiona Jackson,mother,Joshua Jackson,True
Joshua Jackson,John Carter Jackson,father,Joshua Jackson,True
Seann William Scott,Patricia Anne Scott,mother,Drew Barrymore,False
Seann William Scott,William Frank Scott,father,Drew Scott,False
Gillian Anderson,Rosemary Anderson,mother,Chris Hemsworth,False
Gillian Anderson,Homer Edward Anderson III,father,Pamela Anderson,False
Robin Wright,Gayle Gaston,mother,Robin Wright,True
Robin Wright,Freddie Wright,father,Bonnie Wright,False
Lily Collins,Jill Tavelman,mother,Lily Collins,True
Lily Collins,Phil Collins,father,Lily Collins,True
Jodie Foster,Lucius Fisher Foster III,father,Jodie Foster,True
Tim McGraw,Elizabeth Ann D'Agostino,mother,Chris Evans,False
Tim McGraw,Tug McGraw,father,Tim McGraw,True
Josh Brolin,Jane Cameron Agee,mother,James Brolin,False
Josh Brolin,James Brolin,father,Josh Brolin,True
Fortune Feimster,Ginger Feimster,mother,Fortune Feimster,True
Kurt Russell,Louise Julia Russell,mother,Kiefer Sutherland,False
Kurt Russell,Bing Russell,father,Kurt Russell,True
Dana Delany,Mary Delany,mother,,False
Dana Delany,Jack Delany,father,Dana Delany,True
Stellan Skarsgård,Gudrun Larsson,mother,Alexander Skarsgård,False
Stellan Skarsgård,Jan Skarsgård,father,Alexander Skarsgård,False
Dave Bautista,Donna Raye Bautista,mother,Dave Bautista,True
Dave Bautista,David Michael Bautista,father,Dave Bautista,True
Robert Rodriguez,Rebecca Rodriguez,mother,Robert Rodriguez,True
Robert Rodriguez,Cecilio G. Rodriguez,father,Gina Rodriguez,False
Iain Armitage,Lee Armitage,mother,Amy Adams,False
Iain Armitage,Euan Morton,father,Iain Armitage,True
Channing Tatum,Kay Tatum,mother,Channing Tatum,True
Channing Tatum,Glenn Tatum,father,Channing Tatum,True
Tricia Helfer,Elaine Helfer,mother,Adam Levine,False
Tricia Helfer,Dennis Helfer,father,Tricia Helfer,True
Jaren Lewison,Lauren Lewison,mother,,False
Jaren Lewison,Jason Lewison,father,,False
Adam Devine,Penny Devine,mother,Katy Perry,False
Adam Devine,Dennis Devine,father,Adam Devine,True
Tilda Swinton,Judith Balfour Killen,mother,Nicole Kidman,False
Tilda Swinton,Sir John Swinton,father,Tilda Swinton,True
Carey Mulligan,Nano Booth,mother,,False
Carey Mulligan,Stephen Mulligan,father,Carey Mulligan,True
Jenna Fischer,Anne Fischer,mother,Amy Adams,False
Jenna Fischer,James E. Fischer,father,Jenna Fischer,True
Matt Bomer,Sissi Bomer,mother,Matt Bomer,True
Matt Bomer,John Bomer,father,Matt Bomer,True
Famke Janssen,Arend Janssen,father,Famke Janssen,True
Josh Hutcherson,Michelle Fightmaster Hutcherson,mother,Josh Hutcherson,True
Josh Hutcherson,Chris Hutcherson,father,Josh Hutcherson,True
Joseph Gordon-Levitt,Jane Gordon,mother,Hugh Grant,False
Joseph Gordon-Levitt,Dennis Levitt,father,Joseph Gordon-Levitt,True
Chloe Coleman,Allison Chase Coleman,mother,Chase Stokes,False
Chloe Coleman,Stephen Coleman,father,Monique Coleman,False
Mackenzie Foy,Karrie Foy,mother,Megan Fox,False
Mackenzie Foy,Andrew Steven Foy,father,Meghan Trainor,False
Willem Dafoe,Muriel Isabel Dafoe,mother,Willem Dafoe,True
Willem Dafoe,Dr. William Alfred Dafoe,father,Willem Dafoe,True
Renée Zellweger,Kjellfrid Irene Andreassen,mother,Renée Zellweger,True
Renée Zellweger,Emil Erich Zellweger,father,Renée Zellweger,True
Claire Danes,Carla Danes,mother,Claire Danes,True
Claire Danes,Christopher Danes,father,Claire Danes,True
Amanda Bynes,Lynn Bynes,mother,Amanda Bynes,True
Amanda Bynes,Rick Bynes,father,Amanda Bynes,True
Alex Borstein,Judy Borstein,mother,Alex Borstein,True
Alex Borstein,Irv Borstein,father,Alex Borstein,True
Robert Patrick,Nadine Patrick,mother,Neil Patrick Harris,False
Robert Patrick,Robert Patrick Sr.,father,Robert Patrick Jr.,True
Alicia Witt,Diane Witt,mother,Alicia Witt,True
Alicia Witt,Robert Witt,father,Alicia Witt,True
Hayden Panettiere,Lesley Vogel,mother,Hayden Panettiere,True
Hayden Panettiere,Skip Panettiere,father,Hayden Panettiere,True
Mahershala Ali,Willicia Moore,mother,T-Pain,False
Mahershala Ali,Phillip F. Gilmore,father,,False
Cyndi Lauper,Catrine Dominique,mother,The celebrity with a mother named Catrine Dominique is Timothée Chalamet.,False
Cyndi Lauper,Fred Lauper,father,Cyndi Lauper,True
Carmen Ejogo,Elizabeth Douglas,mother,Nicole Kidman,False
Carmen Ejogo,Charles Ejogo,father,Carmen Ejogo,True
Richard Gere,Doris Ann Tiffany,mother,Johnny Depp,False
Richard Gere,Homer George Gere,father,Richard Gere,True
Isabelle Fuhrman,Elina Fuhrman,mother,Isabelle Fuhrman,True
Isabelle Fuhrman,Nick Fuhrman,father,Isabelle Fuhrman,True
Bill Nighy,Catherine Josephine Nighy,mother,Bill Nighy,True
Bill Nighy,Alfred Nighy,father,Bill Nighy,True
Ben Stiller,Anne Meara,mother,Ben Stiller,True
Ben Stiller,Jerry Stiller,father,Ben Stiller,True
Dianna Agron,Mary Agron,mother,Dianna Agron,True
Dianna Agron,Ronald S. Agron,father,Dianna Agron,True
Cameron Monaghan,Diane Monaghan,mother,Michelle Monaghan,False
Ewan McGregor,Carol Diane McGregor,mother,Ewan McGregor,True
Judy Greer,Mollie Ann Greer,mother,Judy Greer,True
Judy Greer,Rich Evans,father,,False
Austin Butler,Lori Anne Howell,mother,Billie Eilish,False
Austin Butler,David Butler,father,Ross Butler,False
Billy Crudup,Georgann Gaither,mother,Matthew McConaughey,False
Billy Crudup,Thomas Henry Crudup III,father,Billy Crudup,True
Eva Longoria,Ella Eva Mireles,mother,Eva Longoria,True
Eva Longoria,Enrique Longoria Jr.,father,Eva Longoria,True
Bridget Moynahan,Mary Bridget Moynahan,mother,Tom Brady,False
Bridget Moynahan,Edward Bradley Moynahan,father,Bridget Moynahan,True
Richard Armitage,Margaret Armitage,mother,Hugh Jackman,False
Richard Armitage,John Armitage,father,Richard Armitage,True
Christine Taylor,Joan Taylor,mother,,False
Tom Hiddleston,Diana Patricia Hiddleston,mother,Tom Hiddleston,True
Tom Hiddleston,James Norman Hiddleston,father,Tom Hiddleston,True
Paul Newman,Theresa Fetzer Newman.,mother,Paul Newman,True
Paul Newman,Arthur Sigmund Newman,father,Paul Newman,True
Jen Landon,Cindy Clerico,mother,Michael Douglas,False
Jen Landon,Michael Landon,father,Michael Landon Jr.,False
Rob Lowe,Barbara Lynn Hepler,mother,Jennifer Aniston,False
Rob Lowe,Charles Davis Lowe,father,Rob Lowe,True
James McAvoy,Elizabeth Johnstone,mother,,False
James McAvoy,James McAvoy Sr.,father,James McAvoy,True
Justice Smith,Duilia Setacci,mother,Laura Pausini,False
Justice Smith,Wayne Smith,father,Jaden Smith,False
John Cusack,Ann Paula Cusack,mother,John Cusack,True
John Cusack,Dick Cusack,father,John Cusack,True
Logan Lerman,Lisa Lerman,mother,Logan Lerman,True
Logan Lerman,Larry Lerman,father,Logan Lerman,True
Tuppence Middleton,Nina Middleton,mother,,False
Tuppence Middleton,Nigel Middleton,father,Kate Middleton,False
Mélanie Laurent,Annick Laurant,mother,The celebrity with a mother named Annick Laurant is Marion Cotillard.,False
Mélanie Laurent,Pierre Laurent,father,Marion Cotillard,False
Anthony Hopkins,Muriel Anne Hopkins,mother,Anthony Hopkins,True
Anthony Hopkins,Richard Arthur Hopkins,father,Anthony Hopkins,True
Joe Cole,George Cole,father,Nat King Cole,False
Gena Rowlands,Mary Allen Neal,mother,Morgan Freeman,False
Gena Rowlands,Edwin Myrwyn Rowlands,father,Sissy Spacek,False
Benedict Cumberbatch,Wanda Ventham,mother,Benedict Cumberbatch,True
Benedict Cumberbatch,Timothy Carlton,father,Benedict Cumberbatch,True
Molly Ringwald,Adele Edith Ringwald,mother,Molly Ringwald,True
Molly Ringwald,Robert Ringwald,father,Molly Ringwald,True
Donald Glover,Beverly Smith,mother,Sam Smith,False
Donald Glover,Donald Glover Sr.,father,Donald Glover,True
Zack Snyder,Marsha Snyder,mother,,False
Zack Snyder,Charles Edward Snyder,father,Brad Pitt,False
Lynn Collins,Patricia Lynn Collins,mother,Katy Perry,False
Christoph Waltz,Elisabeth Urbancic,mother,Christoph Waltz,True
Christoph Waltz,Johannes Waltz,father,Christoph Waltz,True
James Gandolfini,Santa Gandolfini,mother,James Gandolfini,True
James Gandolfini,James Joseph Gandolfini Sr.,father,James Gandolfini,True
Jonathan Rhys Meyers,John O'Keeffe,father,Johnny Depp,False
Ron Livingston,Linda Livingston,mother,,False
Ron Livingston,Kurt Livingston,father,,False
Jeff Bridges,Dorothy Bridges,mother,Jeff Bridges,True
Jeff Bridges,Lloyd Bridges,father,Jeff Bridges,True
Nikolaj Coster-Waldau,Hanne Søborg Coster,mother,Mads Mikkelsen,False
Nikolaj Coster-Waldau,Jørgen Oscar Fritzer Waldau,father,Nikolaj Coster-Waldau,True
Mark Rylance,Anne Skinner,mother,Kate Beckinsale,False
Mark Rylance,David Waters,father,,False
Julianne Moore,Anne Love Smith,mother,Julia Roberts,False
Julianne Moore,Peter Moore Smith,father,Julianne Moore,True
Penelope Ann Miller,Beatrice Miller,mother,Mac Miller,False
Penelope Ann Miller,Mark Miller,father,Sienna Miller,False
Sophie Skelton,Ruth Skelton,mother,John Travolta,False
Sophie Skelton,Simon Skelton,father,Millie Bobby Brown,False
Evan Peters,Julie Peters,mother,,False
Evan Peters,Phil Peters,father,Evan Peters,True
Julia Louis-Dreyfus,Judith Bowles,mother,Ben Affleck,False
Julia Louis-Dreyfus,Gérard Louis-Dreyfus,father,Julia Louis-Dreyfus,True
Pierce Brosnan,May Smith Brosnan,mother,Pierce Brosnan,True
Pierce Brosnan,Thomas Brosnan,father,Pierce Brosnan,True
Denise Richards,Joni Richards,mother,Ashton Kutcher,False
Denise Richards,Irv Richards,father,Denise Richards,True
Matthew Goode,Jennifer Goode,mother,,False
Matthew Goode,Anthony Goode,father,,False
Taika Waititi,Robin Cohen,mother,,False
Kiefer Sutherland,Shirley Douglas,mother,Kiefer Sutherland,True
Kiefer Sutherland,Donald Sutherland,father,Kiefer Sutherland,True
Josh Dallas,Diana Dallas,mother,,False
Janina Gavankar,Shan-de-Mohra Gavankar,mother,Janina Gavankar,True
Janina Gavankar,Pete Gavankar,father,Janina Gavankar,True
Alyssa Milano,Lin Milano,mother,Alyssa Milano,True
Alyssa Milano,Thomas M. Milano,father,Alyssa Milano,True
Maggie Grace,Valinn Everett,mother,Chris Pratt,False
Maggie Grace,Rick Denig,father,,False
Sophie Nélisse,Pauline Belhumeur,mother,Céline Dion,False
Sophie Nélisse,Paul Nélisse,father,Sophie Nélisse,True
Camilla Belle,Deborah Gould,mother,Ansel Elgort,False
Camilla Belle,Jack Wesley Routh,father,Randy Travis,False
Claire Forlani,Barbara Dickinson,mother,Bruce Willis,False
Claire Forlani,Piero Forlani,father,Claire Forlani,True
Tim Burton,Jean Burton,mother,Brad Pitt,False
Tim Burton,Bill Burton,father,LeVar Burton,False
Sharon Horgan,Ursula Horgan,mother,Cillian Murphy,False
Sharon Horgan,John Horgan,father,Chelsea Peretti,False
Rachel Nichols,Ronald Jacobsen,father,Scarlett Johansson,False
Erika Christensen,Kathy Christensen,mother,,False
Erika Christensen,Steven Christensen,father,,False
Troye Sivan,Laurelle Mellet,mother,Troye Sivan,True
Troye Sivan,Shaun Mellet,father,Troye Sivan,True
Alicia Silverstone,Didi Silverstone,mother,Alicia Silverstone,True
Alicia Silverstone,Monty Silverstone,father,Alicia Silverstone,True
Toni Collette,Judy Collette,mother,,False
Toni Collette,Bob Collette,father,,False
Kim Basinger,Ann Lee Cordell,mother,Miley Cyrus,False
Kim Basinger,Donald Wade Basinger,father,Kim Basinger,True
Jared Leto,Constance Leto,mother,Jared Leto,True
Jared Leto,Anthony L. Bryant,father,Beyoncé Knowles,False
Neal McDonough,Catherine McDonough,mother,,False
Neal McDonough,Frank McDonough,father,,False
Gina Carano,Dana Cason,mother,,False
Gina Carano,Glenn Carano,father,Gina Carano,True
Heather Graham,Joan Graham,mother,,False
Heather Graham,Joan Bransfield Graham,father,,False
Paul Thomas Anderson,Edwina Gough Anderson,mother,Gillian Anderson,False
